movieName,name,year,rating,genre,image,summary
tt0100680,Stanley & Iris ,1990,6.4,"Drama,Romance,9 February 1990 (USA)
","https://m.media-amazon.com/images/M/MV5BMzhkYTEyYzItMWU5Ny00NjhiLWFiNmEtM2QwOWVlY2UyZThmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY268_CR11,0,182,268_AL_.jpg","
                    A struggling widow falls in love with an illiterate short-order cook whom she teaches to read and write in her kitchen each night.
            "
tt0101829,Europa ,1991,7.6,"Drama,Thriller,27 June 1991 (Germany)
","https://m.media-amazon.com/images/M/MV5BNjA3ODAyNjctOGMwOS00YmJhLTljOTAtNzMyZGMzMTM5NGM0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY268_CR3,0,182,268_AL_.jpg","
                    Just after W.W.II, an American takes a railway job in Germany, but finds his position politically sensitive with various people trying to use him.
            "
tt0064354,Futz ,1969,4.7,"Comedy,16 November 1969 (USA)
","https://m.media-amazon.com/images/M/MV5BYTMyYjE0NDYtMmIzZS00YmRiLWI5YTgtOWJiYzdjYmI5N2UxXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    Sexual satire about a young farmer who has had many bad experiences with women. He showers love and affection upon his pet pig, Amanda, saying she alone is worthy to be his wife. His ""...
                    "
tt0127388,Ninja Turtles: The Next Mutation             ,,4.3,"Action,Adventure,Comedy,TV Series (1997–1998)
","https://m.media-amazon.com/images/M/MV5BNDZiM2IzMWYtMTRmOC00M2NlLTliZmQtYTQ1NzBhODllY2IwXkEyXkFqcGdeQXVyMjMxMDM2NjY@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    In this live-action TV series, the Turtles are older than in the movies or cartoon, and are joined by a fifth, female Turtle. ""Venus De Milo"" mutated with the other 4 Turtles but was washed...
                    "
tt0277931,Offon ,1968,5.8,"Short,10 May 1968 (USA)
","https://m.media-amazon.com/images/M/MV5BMjYwMmY4YmItNjEwZS00YjkxLTgyYTAtMDliMTJiZTRkMGY3XkEyXkFqcGdeQXVyNjUzNTQ3NDA@._V1_UY268_CR9,0,182,268_AL_.jpg","
                    The human eye, the human form, the human face: these are the three central images of this avant-garde collage and kaleidoscope of shifting and fractured images, changing colors, and pulsing...
                    "
tt0047200,The Mad Magician ,1954,6.5,"Horror,Mystery,Thriller,19 May 1954 (USA)
","https://m.media-amazon.com/images/M/MV5BMWYyMWVhYzQtYjAxYi00Y2JiLTg4YjAtYjBmMjAzOTk0NTc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    Don Gallico is a master at designing magical illusions which are sold by his employer, Mr. Ormond, to famous magicians such as Rinaldi. He is also a master of disguise and realistic mask ...
                    "
tt0479948,Living & Dying ,2007,3.9,"Action,Crime,Thriller,30 March 2007 (Turkey)
","https://m.media-amazon.com/images/M/MV5BMjA3MzAxNTU3NF5BMl5BanBnXkFtZTcwMjM2MjQ0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    Two killers turn the tables on a trio of robbers when they find themselves in a hostage situation. Surrounded by the police, the robbers must become the heroes before the killers execute everyone.
            "
tt0893406,Loaded ,2008,4.5,"Action,Crime,Drama,25 March 2008 (USA)
","https://m.media-amazon.com/images/M/MV5BMTk3NjIxNDgzOV5BMl5BanBnXkFtZTcwMDE0NjQ2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    A young, wealthy club kid's life spirals downward into an out-of-control world of drugs, sex and violence.
            "
tt0117382,Twists of Terror ,1997,5.3,"Horror,Thriller,TV Movie 17 October 1998
","https://m.media-amazon.com/images/M/MV5BMTU0NjIxNjk0N15BMl5BanBnXkFtZTcwNDU3NDcxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    Stuck in the attic of his house, a paranoid man recounts several different tales to an unknown listener in order to explain the dangers of the world.
            "
tt0080486,Devil Hunter ,1980,3.4,"Horror,5 December 1980 (West Germany)
","https://m.media-amazon.com/images/M/MV5BMTI0ODM0NzI5M15BMl5BanBnXkFtZTcwOTk0MDY5MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg","
                    A Vietnam veteran heads to an island inhabited by cannibals to save a kidnapped model not only from her kidnappers, but also from the cannibals' lurking Devil god.
            "
